id,posicion,pelicula,bruto,release,total,studio
415,85,The Innocent,12560,Mar 17,12560,Janus Films
416,86,Violent Night,12245,Dec 2,12245,Universal Pictures
417,87,The Trial,11700,Dec 9,11700,Rialto Pictures
418,88,MindReader,11544,Oct 24,11544,Five & Two Pictures
419,89,"Crouching Tiger, Hidden Dragon",10246,Feb 17,10246,Sony Pictures Classics
420,90,32 Sounds,10239,Apr 28,10239,Abramorama
421,91,Rare Objects,10072,Apr 14,10072,IFC Films
422,92,Passion,9989,Apr 14,9989,Film Movement
423,93,Juniper,9974,Feb 24,9974,Greenwich Entertainment
424,94,One Fine Morning,9736,Jan 27,9736,Sony Pictures Entertainment (SPE)
425,95,Linoleum,9434,Feb 24,9434,Shout! Studios
426,96,The Worst Ones,8843,Mar 24,8843,Kino Lorber
427,97,A Difficult Life,7748,Feb 3,7748,Rialto Pictures
428,98,The Forger,7007,Mar 3,7007,Kino Lorber
429,99,Cinema Sabaya,6320,Feb 10,6320,Kino Lorber
430,100,Path of the Panther,6138,Feb 24,6138,-
431,101,Boblo Boats: A Detroit Ferry Tale,5478,Sep 16,5478,Lucky Hat Entertainment
432,102,My Architect,5400,Apr 7,5400,Abramorama
433,103,Four Quartets,5332,Apr 28,5332,Kino Lorber
434,104,The Wandering Earth II,5046,Jan 22,5046,Well Go USA Entertainment
435,105,iMordecai,5010,Feb 10,5010,Greenwich Entertainment
436,106,R.M.N.,4755,Apr 28,4755,IFC Films
437,107,Guitar Lessons,4198,Sep 23,4198,-
438,108,Cadejo Blanco,3562,Apr 21,3562,Film Movement
439,109,The Five Devils,3536,Mar 24,3536,MUBI
440,110,Rodeo,3408,Mar 17,3408,Music Box Films
441,111,Eight Deadly Shots,3234,Mar 31,3234,Janus Films
442,112,Only in Theaters,3073,Nov 18,3073,-
443,113,Godland,2910,Feb 3,2910,Janus Films
444,114,Drylongso,2591,Mar 17,2591,Janus Films
445,115,The Civil Dead,2175,Feb 10,2175,Utopia
446,116,Leonor Will Never Die,1697,Nov 25,1697,Music Box Films
447,117,Filmmakers for the Prosecution,1429,Jan 27,1429,Kino Lorber
448,118,Full Time,1406,Feb 3,1406,Music Box Films
449,119,La civil,1405,Mar 3,1405,-
450,120,The Sorrow and the Pity,1396,Feb 24,1396,Kino Lorber
451,121,Tommy Guns,1315,Apr 12,1315,Kino Lorber
452,122,Imagining the Indian,1182,Mar 31,1182,Ciesla Foundation
453,123,Venus,1106,Mar 31,1106,Sony Pictures Entertainment (SPE)
454,124,Film: The Living Record of Our Memory,957,Feb 24,957,Kino Lorber
455,125,Heretic,679,Jan 20,679,Indican Pictures
456,126,Southern Gospel,651,Mar 10,651,-
457,127,The Runner,592,Oct 28,592,Rialto Pictures
458,128,The Monsters Without,306,Apr 27,306,-
459,1,Guardians of the Galaxy Vol. 3,310885750,May 5,310885750,Walt Disney Studios Motion Pictures
460,2,The Little Mermaid,138583114,May 26,138583114,Walt Disney Studios Motion Pictures
461,3,Fast X,117838360,May 19,117838360,Universal Pictures
462,4,The Super Mario Bros. Movie,71530590,Apr 5,71530590,Universal Pictures
463,5,Evil Dead Rise,22369576,Apr 21,22369576,Warner Bros.
464,6,Book Club: The Next Chapter,16760350,May 12,16760350,Focus Features
465,7,"Are You There God? It's Me, Margaret.",13182874,Apr 28,13182874,Lionsgate
466,8,John Wick: Chapter 4,10642303,Mar 24,10642303,Lionsgate
467,9,The Machine,6682001,May 26,6682001,Sony Pictures Entertainment (SPE)
468,10,About My Father,6416701,May 26,6416701,Lionsgate
469,11,Love Again,6183953,May 5,6183953,Screen Gems
470,12,Dungeons & Dragons: Honor Among Thieves,5034985,Mar 31,5034985,Paramount Pictures
471,13,Air,4824548,Apr 5,4824548,-
472,14,The Covenant,4657962,Apr 21,4657962,Metro-Goldwyn-Mayer (MGM)
473,15,Hypnotic,4498958,May 12,4498958,Ketchup Entertainment
474,16,Sisu,3929823,Apr 28,3929823,Lionsgate
475,17,Kandahar,3329868,May 26,3329868,Open Road Films (II)
476,18,Big George Foreman,2500866,Apr 28,2500866,Sony Pictures Entertainment (SPE)
477,19,Star Wars: Episode VI - Return of the Jedi,2159270,Apr 28,2159270,-
478,20,You Hurt My Feelings,2103430,May 26,2103430,A24
479,21,Beau Is Afraid,1968088,Apr 14,1968088,A24
480,22,Nefarious,1917935,Apr 14,1917935,Soli Deo Gloria Releasing
481,23,The Pope's Exorcist,1853635,Apr 14,1853635,Screen Gems
482,24,Ant-Man and the Wasp: Quantumania,1486018,Feb 17,1486018,Walt Disney Studios Motion Pictures
483,25,BlackBerry,1341926,May 12,1341926,IFC Films
484,26,Knights of the Zodiac,1030468,May 12,1030468,-
485,27,Suzume,965937,Apr 14,965937,Crunchyroll
486,28,Fool's Paradise,854137,May 12,854137,Roadside Attractions
487,29,Renfield,811225,Apr 14,811225,Universal Pictures
488,30,Roll with It,757981,May 9,757981,Fathom Events
489,31,Polite Society,727860,Apr 28,727860,Focus Features
490,32,Rally Road Racers,711005,May 12,711005,Viva Pictures
491,33,Chevalier,660909,Apr 21,660909,Walt Disney Studios Motion Pictures
492,34,The Way,567448,May 16,567448,Fathom Events
493,35,Master Gardener,541316,May 19,541316,Magnolia Pictures
494,36,A Father's Heart,447912,May 1,447912,Fathom Events
495,37,Somewhere in Queens,407329,Apr 21,407329,Roadside Attractions
496,38,It Ain't Over,360683,May 12,360683,Sony Pictures Entertainment (SPE)
497,39,Spirited Away,228500,Apr 23,228500,Fathom Events
498,40,Showing Up,202212,Apr 7,202212,A24
499,41,The Wrath of Becky,168109,May 26,168109,Quiver Distribution
500,42,Sanctuary,151263,May 19,151263,-
501,43,The Eight Mountains,146265,Apr 28,146265,Variance Films
502,44,Wild Life,145143,Apr 14,145143,Picturehouse
503,45,The Starling Girl,138319,May 12,138319,Bleecker Street Media
504,46,Monica,134258,May 12,134258,IFC Films
505,47,Creed III,132521,Mar 3,132521,United Artists Releasing
506,48,Joyland,125121,Apr 7,125121,Oscilloscope
507,49,Avatar: The Way of Water,117798,Dec 16,117798,20th Century Studios
508,50,Carmen,75685,Apr 21,75685,Sony Pictures Classics
509,51,L'immensità,62108,May 12,62108,Music Box Films
510,52,Born to Fly,61648,Apr 28,61648,Well Go USA Entertainment
511,53,Chile '76,59867,May 5,59867,Kino Lorber
512,54,Scream VI,49203,Mar 10,49203,Paramount Pictures
513,55,Sick of Myself,47697,Apr 14,47697,Utopia
514,56,R.M.N.,40550,Apr 28,40550,IFC Films
515,57,32 Sounds,39218,Apr 28,39218,Abramorama
516,58,Other People's Children,37630,Apr 21,37630,Music Box Films
517,59,65,34083,Mar 10,34083,Sony Pictures Entertainment (SPE)
518,60,The End of Sex,31156,Apr 28,31156,Blue Fox Entertainment
519,61,The Melt Goes on Forever: The Art & Times of David Hammons,26027,May 5,26027,Greenwich Entertainment
520,62,How to Blow Up a Pipeline,24355,Apr 7,24355,-
521,63,Little Richard: I Am Everything,21365,Apr 21,21365,Magnolia Pictures
522,64,Return to Seoul,20800,Feb 17,20800,Sony Pictures Classics
523,65,Moon Garden,16013,May 19,16013,Oscilloscope
524,66,The Lost King,13825,Mar 24,13825,IFC Films
525,67,Werckmeister Harmonies,13320,May 26,13320,Janus Films
526,68,Close to Vermeer,12858,May 26,12858,Kino Lorber
527,69,Always a Winner,11746,May 3,11746,Five & Two Pictures
528,70,The Conformist,9994,Jan 6,9994,Kino Lorber
529,71,MindReader,9232,Oct 24,9232,Five & Two Pictures
530,72,Moving On,6992,Mar 17,6992,Roadside Attractions
531,73,"Blind Willow, Sleeping Woman",6910,Apr 14,6910,-
532,74,The Night of the 12th,6798,May 19,6798,Film Movement
533,75,The Cow Who Sang a Song Into the Future,6604,May 19,6604,Kino Lorber
534,76,Champions,5940,Mar 10,5940,Focus Features
535,77,Smoking Causes Coughing,5550,Mar 31,5550,Magnolia Pictures
536,78,Cinema Sabaya,5375,Feb 10,5375,Kino Lorber
537,79,A Thousand and One,4425,Mar 31,4425,Focus Features
538,80,Paint,4230,Apr 7,4230,IFC Films
539,81,The Headmistress,4202,Jan 13,4202,Indican Pictures
540,82,Shazam! Fury of the Gods,4148,Mar 17,4148,Warner Bros.
541,83,Four Quartets,3998,Apr 28,3998,Kino Lorber
542,84,White Balls on Walls,3313,May 26,3313,Icarus Films
543,85,Róise & Frank,3062,Mar 31,3062,Juno Films
544,86,River,2288,Apr 21,2288,Greenwich Entertainment
545,87,The Forger,2073,Mar 3,2073,Kino Lorber
546,88,Full Time,1655,Feb 3,1655,Music Box Films
547,89,The Trial,1431,Dec 9,1431,Rialto Pictures
548,90,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,1285,Dec 30,1285,Sony Pictures Entertainment (SPE)
549,91,The Worst Ones,1276,Mar 24,1276,Kino Lorber
550,92,Film: The Living Record of Our Memory,1151,Feb 24,1151,Kino Lorber
551,93,The Monsters Without,928,Apr 27,928,-
552,94,Tommy Guns,662,Apr 12,662,Kino Lorber
553,95,Hilma,638,Apr 14,638,Juno Films
554,96,One Fine Morning,512,Jan 27,512,Sony Pictures Entertainment (SPE)
555,97,"Crouching Tiger, Hidden Dragon",432,Feb 17,432,Sony Pictures Classics
556,98,Rare Objects,380,Apr 14,380,IFC Films
557,99,Living,376,Dec 23,376,Sony Pictures Classics
558,100,Brotherhood of the Wolf,275,Jan 20,275,Rialto Pictures
559,101,A Difficult Life,263,Feb 3,263,Rialto Pictures
560,102,In Viaggio: The Travels of Pope Francis,228,Mar 31,228,Magnolia Pictures
561,103,Nam June Paik: Moon Is the Oldest TV,196,Mar 24,196,Greenwich Entertainment
562,104,Only in Theaters,68,Nov 18,68,-
563,1,Spider-Man: Across the Spider-Verse,331827099,Jun 2,331827099,Columbia Pictures
564,2,The Little Mermaid,138826234,May 26,138826234,Walt Disney Studios Motion Pictures
565,3,Transformers: Rise of the Beasts,131055239,Jun 9,131055239,Paramount Pictures
566,4,The Flash,95682666,Jun 16,95682666,Warner Bros.
567,5,Elemental,80964619,Jun 16,80964619,Walt Disney Studios Motion Pictures
568,6,Guardians of the Galaxy Vol. 3,42719008,May 5,42719008,Walt Disney Studios Motion Pictures
569,7,The Boogeyman,39861551,Jun 2,39861551,Walt Disney Studios Motion Pictures
570,8,Fast X,27356760,May 19,27356760,Universal Pictures
571,9,No Hard Feelings,24039286,Jun 23,24039286,Sony Pictures Entertainment (SPE)
572,10,Indiana Jones and the Dial of Destiny,23682998,Jun 30,23682998,Walt Disney Studios Motion Pictures
573,11,Asteroid City,15536445,Jun 16,15536445,Focus Features
574,12,The Blackening,14412583,Jun 16,14412583,Lionsgate
575,13,The Super Mario Bros. Movie,10964770,Apr 5,10964770,Universal Pictures
576,14,About My Father,5496065,May 26,5496065,Lionsgate
577,15,Past Lives,4821764,Jun 2,4821764,A24
578,16,The Machine,3776330,May 26,3776330,Sony Pictures Entertainment (SPE)
579,17,You Hurt My Feelings,2589461,May 26,2589461,A24
580,18,"Ruby Gillman, Teenage Kraken",2339895,Jun 30,2339895,DreamWorks
581,19,Kandahar,1483264,May 26,1483264,Open Road Films (II)
582,20,The Roundup: No Way Out,823660,Jun 2,823660,Capelight Pictures
583,21,Book Club: The Next Chapter,795990,May 12,795990,Focus Features
584,22,Evil Dead Rise,516110,Apr 21,516110,Warner Bros.
585,23,John Wick: Chapter 4,468501,Mar 24,468501,Lionsgate
586,24,"Are You There God? It's Me, Margaret.",450495,Apr 28,450495,Lionsgate
587,25,Sanctuary,383939,May 19,383939,-
588,26,Mending the Line,379890,Jun 9,379890,Blue Fox Entertainment
589,27,It Ain't Over,295958,May 12,295958,Sony Pictures Entertainment (SPE)
590,28,Lonely Castle in the Mirror,139154,Jun 21,139154,GKIDS
591,29,The Pope's Exorcist,136926,Apr 14,136926,Screen Gems
592,30,BlackBerry,129036,May 12,129036,IFC Films
593,31,Master Gardener,118457,May 19,118457,Magnolia Pictures
594,32,The Last Rider,106547,Jun 23,106547,Roadside Attractions
595,33,Nefarious,101644,Apr 14,101644,Soli Deo Gloria Releasing
596,34,Chevalier,92459,Apr 21,92459,Walt Disney Studios Motion Pictures
597,35,Close to Vermeer,88734,May 26,88734,Kino Lorber
598,36,Beau Is Afraid,79361,Apr 14,79361,A24
599,37,The Angry Black Girl and Her Monster,79015,Jun 9,79015,-
600,38,Squaring the Circle (The Story of Hipgnosis),77050,Jun 9,77050,Utopia
601,39,Daliland,75849,Jun 9,75849,Magnolia Pictures
602,40,The Eight Mountains,75234,Apr 28,75234,Variance Films
603,41,Somewhere in Queens,73177,Apr 21,73177,Roadside Attractions
604,42,Blue Jean,70600,Jun 9,70600,Magnolia Pictures
605,43,Chile '76,61951,May 5,61951,Kino Lorber
606,44,Knights of the Zodiac,59282,May 12,59282,-
607,45,Lynch/Oz,49993,Jun 2,49993,Janus Films
608,46,Every Body,47615,Jun 30,47615,Focus Features
609,47,Love Again,46544,May 5,46544,Screen Gems
610,48,Ant-Man and the Wasp: Quantumania,46460,Feb 17,46460,Walt Disney Studios Motion Pictures
611,49,Joyland,42279,Apr 7,42279,Oscilloscope
612,50,Scarlet,35737,Jun 9,35737,Kino Lorber
613,51,L'immensità,33170,May 12,33170,Music Box Films
614,52,Moon Garden,29316,May 19,29316,Oscilloscope
615,53,The Night of the 12th,28503,May 19,28503,Film Movement
616,54,Suzume,24520,Apr 14,24520,Crunchyroll
617,55,Werckmeister Harmonies,23534,May 26,23534,Janus Films
618,56,The Starling Girl,22971,May 12,22971,Bleecker Street Media
619,57,Monica,18361,May 12,18361,IFC Films
620,58,"Desperate Souls, Dark City and the Legend of Midnight Cowboy",16040,Jun 23,16040,Zeitgeist Films
621,59,Revoir Paris,15952,Jun 23,15952,Music Box Films
622,60,Falcon Lake,12768,Jun 2,12768,Yellow Veil Pictures
623,61,Dungeons & Dragons: Honor Among Thieves,10306,Mar 31,10306,Paramount Pictures
624,62,Other People's Children,10137,Apr 21,10137,Music Box Films
625,63,The Mother and the Whore,9743,Jun 23,9743,Janus Films
626,64,Loren & Rose,9692,Jun 23,9692,Wise Lars
627,65,The Wicker Man,8956,Jun 21,8956,Rialto Pictures
628,66,The Cow Who Sang a Song Into the Future,7075,May 19,7075,Kino Lorber
629,67,32 Sounds,7017,Apr 28,7017,Abramorama
630,68,"Blind Willow, Sleeping Woman",5972,Apr 14,5972,-
631,69,Sick of Myself,5597,Apr 14,5597,Utopia
632,70,The Covenant,5340,Apr 21,5340,Metro-Goldwyn-Mayer (MGM)
633,71,Carmen,4976,Apr 21,4976,Sony Pictures Classics
634,72,Sisu,4908,Apr 28,4908,Lionsgate
635,73,Contempt,4558,Jun 30,4558,Rialto Pictures
636,74,White Balls on Walls,3699,May 26,3699,Icarus Films
637,75,Cinema Sabaya,3112,Feb 10,3112,Kino Lorber
638,76,Air,2984,Apr 5,2984,-
639,77,The Melt Goes on Forever: The Art & Times of David Hammons,2912,May 5,2912,Greenwich Entertainment
640,78,Return to Seoul,2842,Feb 17,2842,Sony Pictures Classics
641,79,Full Time,2708,Feb 3,2708,Music Box Films
642,80,Four Quartets,2674,Apr 28,2674,Kino Lorber
643,81,Little Richard: I Am Everything,1798,Apr 21,1798,Magnolia Pictures
644,82,Boblo Boats: A Detroit Ferry Tale,1323,Sep 16,1323,Lucky Hat Entertainment
645,83,A Difficult Life,1216,Feb 3,1216,Rialto Pictures
646,84,Hypnotic,1211,May 12,1211,Ketchup Entertainment
647,85,Shift: The Ragbrai Documentary,1105,May 4,1105,-
648,86,R.M.N.,1045,Apr 28,1045,IFC Films
649,87,Fool's Paradise,1036,May 12,1036,Roadside Attractions
650,88,The Trial,1033,Dec 9,1033,Rialto Pictures
651,89,The Forger,1000,Mar 3,1000,Kino Lorber
652,90,Kings of L.A.,420,Jun 23,420,Indican Pictures
653,91,Big George Foreman,311,Apr 28,311,Sony Pictures Entertainment (SPE)
654,92,Please Baby Please,273,Oct 28,273,Music Box Films
655,93,Millie Lies Low,228,Jun 30,228,Film Movement
656,94,Moving On,217,Mar 17,217,Roadside Attractions
657,95,The Worst Ones,149,Mar 24,149,Kino Lorber
658,96,Smoking Causes Coughing,93,Mar 31,93,Magnolia Pictures
659,97,The Conformist,72,Jan 6,72,Kino Lorber
660,1,Barbie,366422042,Jul 21,366422042,Warner Bros.
661,2,Oppenheimer,181420520,Jul 21,181420520,Universal Pictures
662,3,Sound of Freedom,151377819,Jul 4,151377819,Angel Studios
663,4,Indiana Jones and the Dial of Destiny,143954992,Jun 30,143954992,Walt Disney Studios Motion Pictures
664,5,Mission: Impossible - Dead Reckoning Part One,140519062,Jul 12,140519062,Paramount Pictures
665,6,Insidious: The Red Door,78582040,Jul 7,78582040,Screen Gems
666,7,Elemental,64651439,Jun 16,64651439,Walt Disney Studios Motion Pictures
667,8,Spider-Man: Across the Spider-Verse,47198875,Jun 2,47198875,Columbia Pictures
668,9,Haunted Mansion,26457187,Jul 28,26457187,Walt Disney Studios Motion Pictures
669,10,No Hard Feelings,26161697,Jun 23,26161697,Sony Pictures Entertainment (SPE)
670,11,Transformers: Rise of the Beasts,25646277,Jun 9,25646277,Paramount Pictures
671,12,The Little Mermaid,19537582,May 26,19537582,Walt Disney Studios Motion Pictures
672,13,"Ruby Gillman, Teenage Kraken",13281710,Jun 30,13281710,DreamWorks
673,14,Joy Ride,12861615,Jul 7,12861615,Lionsgate
674,15,The Flash,12237595,Jun 16,12237595,Warner Bros.
675,16,Asteroid City,12123440,Jun 16,12123440,Focus Features
676,17,Talk to Me,11791260,Jul 28,11791260,A24
677,18,Past Lives,5519018,Jun 2,5519018,A24
678,19,Guardians of the Galaxy Vol. 3,5351961,May 5,5351961,Walt Disney Studios Motion Pictures
679,20,The Boogeyman,3382731,Jun 2,3382731,Walt Disney Studios Motion Pictures
680,21,The Blackening,3294624,Jun 16,3294624,Lionsgate
681,22,The Miracle Club,1606255,Jul 14,1606255,Sony Pictures Entertainment (SPE)
682,23,Theater Camp,1603349,Jul 14,1603349,Searchlight Pictures
683,24,The Super Mario Bros. Movie,797505,Apr 5,797505,Universal Pictures
684,25,Fast X,765540,May 19,765540,Universal Pictures
685,26,The First Slam Dunk,745455,Jul 28,745455,GKIDS
686,27,Terrifier,338511,Jul 19,338511,-
687,28,The Lesson,310746,Jul 7,310746,-
688,29,Psycho-Pass: Providence,309757,Jul 14,309757,Crunchyroll
689,30,UFC 291: Poirier vs. Gaethje 2,308825,Jul 29,308825,-
690,31,The Essential Church,295405,Jul 28,295405,Atlas Distribution Company
691,32,Every Body,226245,Jun 30,226245,Focus Features
692,33,Go West,210526,Jul 19,210526,Purdie Distribution
693,34,About My Father,176625,May 26,176625,Lionsgate
694,35,You Hurt My Feelings,137897,May 26,137897,A24
695,36,Afire,120243,Jul 14,120243,Sideshow Releasing
696,37,Contempt,119913,Jun 30,119913,Rialto Pictures
697,38,The Roundup: No Way Out,85751,Jun 2,85751,Capelight Pictures
698,39,The League,62309,Jul 14,62309,Magnolia Pictures
699,40,Biosphere,60149,Jul 7,60149,IFC Films
700,41,Close to Vermeer,52038,May 26,52038,Kino Lorber
701,42,It Ain't Over,47642,May 12,47642,Sony Pictures Entertainment (SPE)
702,43,Black Ice,47362,Jul 14,47362,Roadside Attractions
703,44,Have You Got It Yet? The Story of Syd Barrett and Pink Floyd,47254,Jul 14,47254,Abramorama
704,45,The Angry Black Girl and Her Monster,44087,Jun 9,44087,-
705,46,Blue Jean,39505,Jun 9,39505,Magnolia Pictures
706,47,The Last Rider,38097,Jun 23,38097,Roadside Attractions
707,48,Revoir Paris,32118,Jun 23,32118,Music Box Films
708,49,The Mother and the Whore,30808,Jun 23,30808,Janus Films
709,50,"Desperate Souls, Dark City and the Legend of Midnight Cowboy",29705,Jun 23,29705,Zeitgeist Films
710,51,The Wicker Man,28516,Jun 21,28516,Rialto Pictures
711,52,Squaring the Circle (The Story of Hipgnosis),26354,Jun 9,26354,Utopia
712,53,Amanda,25394,Jul 7,25394,Oscilloscope
713,54,Lakota Nation vs. United States,24313,Jul 14,24313,IFC Films
714,55,Scarlet,22667,Jun 9,22667,Kino Lorber
715,56,Two Tickets to Greece,17739,Jul 14,17739,Greenwich Entertainment
716,57,Once Upon a Time in Uganda,16185,Jul 7,16185,Yellow Veil Pictures
717,58,The Childe,15910,Jun 30,15910,Well Go USA Entertainment
718,59,32 Sounds,13460,Apr 28,13460,Abramorama
719,60,Kokomo City,12240,Jul 28,12240,Magnolia Pictures
720,61,Somewhere in Queens,12138,Apr 21,12138,Roadside Attractions
721,62,Bobi Wine: The People's President,11140,Jul 28,11140,National Geographic Documentary Films
722,63,Lynch/Oz,9751,Jun 2,9751,Janus Films
723,64,Final Cut,9009,Jul 14,9009,Kino Lorber
724,65,Moon Garden,8721,May 19,8721,Oscilloscope
725,66,Werckmeister Harmonies,7576,May 26,7576,Janus Films
726,67,Master Gardener,7334,May 19,7334,Magnolia Pictures
727,68,Sympathy for the Devil,7011,Jul 28,7011,-
728,69,The Unknown Country,6960,Jul 28,6960,Music Box Films
729,70,Daliland,6919,Jun 9,6919,Magnolia Pictures
730,71,Return to Dust,6663,Jul 21,6663,Film Movement
731,72,The Night of the 12th,6386,May 19,6386,Film Movement
732,73,The Crusades,5887,Jul 7,5887,VMI Worldwide
733,74,The Beasts,5729,Jul 28,5729,Greenwich Entertainment
734,75,Chile '76,5690,May 5,5690,Kino Lorber
735,76,BlackBerry,4830,May 12,4830,IFC Films
736,77,L'immensità,4812,May 12,4812,Music Box Films
737,78,Millie Lies Low,4037,Jun 30,4037,Film Movement
738,79,Other People's Children,3989,Apr 21,3989,Music Box Films
739,80,Joyland,3173,Apr 7,3173,Oscilloscope
740,81,The Cow Who Sang a Song Into the Future,2472,May 19,2472,Kino Lorber
741,82,MindReader,2177,Oct 24,2177,Five & Two Pictures
742,83,Shift: The Ragbrai Documentary,1616,May 4,1616,-
743,84,Sick of Myself,1369,Apr 14,1369,Utopia
744,85,"Blind Willow, Sleeping Woman",1097,Apr 14,1097,-
745,86,Please Baby Please,944,Oct 28,944,Music Box Films
746,87,Loren & Rose,822,Jun 23,822,Wise Lars
747,88,The Trial,635,Dec 9,635,Rialto Pictures
748,89,Full Time,614,Feb 3,614,Music Box Films
749,90,Kings of L.A.,450,Jun 23,450,Indican Pictures
750,1,Barbie,164830710,Jul 21,164830710,Warner Bros.
751,2,Oppenheimer,85480510,Jul 21,85480510,Universal Pictures
752,3,Teenage Mutant Ninja Turtles: Mutant Mayhem,74165719,Aug 2,74165719,Paramount Pictures
753,4,Meg 2: The Trench,55688230,Aug 4,55688230,Warner Bros.
754,5,Haunted Mansion,27281811,Jul 28,27281811,Walt Disney Studios Motion Pictures
755,6,Sound of Freedom,22062433,Jul 4,22062433,Angel Studios
756,7,Mission: Impossible - Dead Reckoning Part One,19541486,Jul 12,19541486,Paramount Pictures
757,8,Talk to Me,19530006,Jul 28,19530006,A24
758,9,The Last Voyage of the Demeter,7122050,Aug 11,7122050,Universal Pictures
759,10,Indiana Jones and the Dial of Destiny,5137079,Jun 30,5137079,Walt Disney Studios Motion Pictures
760,11,Elemental,4783165,Jun 16,4783165,Walt Disney Studios Motion Pictures
761,12,Insidious: The Red Door,3015709,Jul 7,3015709,Screen Gems
762,13,Spider-Man: Across the Spider-Verse,1714255,Jun 2,1714255,Columbia Pictures
763,14,Theater Camp,1545634,Jul 14,1545634,Searchlight Pictures
764,15,Jules,952655,Aug 11,952655,Bleecker Street Media
765,16,Shortcomings,559654,Aug 4,559654,Sony Pictures Classics
766,17,The First Slam Dunk,438940,Jul 28,438940,GKIDS
767,18,Transformers: Rise of the Beasts,364876,Jun 9,364876,Paramount Pictures
768,19,No Hard Feelings,251299,Jun 23,251299,Sony Pictures Entertainment (SPE)
769,20,The Little Mermaid,247527,May 26,247527,Walt Disney Studios Motion Pictures
770,21,Dreamin' Wild,240377,Aug 4,240377,Roadside Attractions
771,22,Asteroid City,231510,Jun 16,231510,Focus Features
772,23,CatVideoFest 2023,230067,Aug 4,230067,Oscilloscope
773,24,The Miracle Club,216902,Jul 14,216902,Sony Pictures Entertainment (SPE)
774,25,Past Lives,200643,Jun 2,200643,A24
775,26,The Flash,199818,Jun 16,199818,Warner Bros.
776,27,Passages,172610,Aug 4,172610,MUBI
777,28,"Ruby Gillman, Teenage Kraken",119015,Jun 30,119015,DreamWorks
778,29,The Essential Church,116420,Jul 28,116420,Atlas Distribution Company
779,30,Go West,103719,Jul 19,103719,Purdie Distribution
780,31,The Highest of Stakes,100287,Aug 4,100287,Indican Pictures
781,32,Ransomed,97220,Aug 4,97220,Well Go USA Entertainment
782,33,The Super Mario Bros. Movie,95165,Apr 5,95165,Universal Pictures
783,34,Afire,55150,Jul 14,55150,Sideshow Releasing
784,35,Kokomo City,49705,Jul 28,49705,Magnolia Pictures
785,36,Guardians of the Galaxy Vol. 3,39096,May 5,39096,Walt Disney Studios Motion Pictures
786,37,Joy Ride,36174,Jul 7,36174,Lionsgate
787,38,Contempt,33621,Jun 30,33621,Rialto Pictures
788,39,Day by Day,31141,Aug 11,31141,Utopia
789,40,Have You Got It Yet? The Story of Syd Barrett and Pink Floyd,28456,Jul 14,28456,Abramorama
790,41,Lakota Nation vs. United States,25173,Jul 14,25173,IFC Films
791,42,The Unknown Country,19294,Jul 28,19294,Music Box Films
792,43,A Compassionate Spy,18210,Aug 4,18210,Magnolia Pictures
793,44,Bobi Wine: The People's President,17908,Jul 28,17908,National Geographic Documentary Films
794,45,Tokyo Pop,15816,Aug 4,15816,Kino Lorber
795,46,The Beasts,14845,Jul 28,14845,Greenwich Entertainment
796,47,Aporia,14064,Aug 11,14064,Well Go USA Entertainment
797,48,Shiva Baby,13989,Aug 4,13989,Utopia
798,49,Winter Kills,11182,Aug 11,11182,Rialto Pictures
799,50,32 Sounds,9770,Apr 28,9770,Abramorama
800,51,The Wicker Man,7075,Jun 21,7075,Rialto Pictures
801,52,Between Two Worlds,6360,Aug 11,6360,Cohen Media Group
802,53,What Comes Around,5935,Aug 4,5935,IFC Films
803,54,Sympathy for the Devil,4979,Jul 28,4979,-
804,55,The League,3302,Jul 14,3302,Magnolia Pictures
805,56,The Others,3267,Aug 11,3267,Rialto Pictures
806,57,Squaring the Circle (The Story of Hipgnosis),2986,Jun 9,2986,Utopia
807,58,The Last Rider,2853,Jun 23,2853,Roadside Attractions
808,59,"Desperate Souls, Dark City and the Legend of Midnight Cowboy",2121,Jun 23,2121,Zeitgeist Films
809,60,Return to Dust,1869,Jul 21,1869,Film Movement
810,61,Love Life,1782,Aug 11,1782,Oscilloscope
811,62,Terrifier,1435,Jul 19,1435,-
812,63,Close to Vermeer,1416,May 26,1416,Kino Lorber
813,64,"Blind Willow, Sleeping Woman",1416,Apr 14,1416,-
814,65,It Ain't Over,1067,May 12,1067,Sony Pictures Entertainment (SPE)
815,66,The Cow Who Sang a Song Into the Future,1005,May 19,1005,Kino Lorber
816,67,Operation Napoleon,909,Aug 11,909,Magnolia Pictures
817,68,Scarlet,898,Jun 9,898,Kino Lorber
818,69,Two Tickets to Greece,774,Jul 14,774,Greenwich Entertainment
819,70,Blue Jean,612,Jun 9,612,Magnolia Pictures
820,71,Chile '76,401,May 5,401,Kino Lorber
821,72,Final Cut,239,Jul 14,239,Kino Lorber
822,73,Revoir Paris,201,Jun 23,201,Music Box Films
823,74,Somewhere in Queens,155,Apr 21,155,Roadside Attractions
824,75,Other People's Children,66,Apr 21,66,Music Box Films
